x,y,z,yaw,velocity,change_flag
343.8428,258.2541,3.8077,1.5388,10.0000,0
344.0026,263.2492,3.6557,1.5388,10.0000,0
344.1625,268.2444,3.5037,1.5388,10.0000,0
344.3223,273.2395,3.3517,1.5388,10.0000,0
344.4821,278.2346,3.1997,1.5388,10.0000,0
344.6420,283.2298,3.0477,1.5388,10.0000,0
344.8018,288.2249,2.8957,1.5388,10.0000,0
344.8125,288.5594,2.8855,2.0194,10.0000,0
342.6439,293.0643,2.8314,2.0194,10.0000,0
340.4754,297.5693,2.7773,2.0194,10.0000,0
338.3068,302.0742,2.7232,2.0194,10.0000,0
336.6008,305.6181,2.6806,2.1882,10.0000,0
333.7063,309.6950,2.6509,2.1882,10.0000,0
330.8118,313.7719,2.6212,2.1882,10.0000,0
330.3470,314.4266,2.6164,1.6073,10.0000,0
330.1645,319.4232,2.5798,1.6073,10.0000,0
329.9821,324.4197,2.5432,1.6073,10.0000,0
329.7997,329.4162,2.5066,1.6073,10.0000,0
329.7219,331.5478,2.4910,1.6289,10.0000,0
329.4317,336.5390,2.4241,1.6289,10.0000,0
329.1416,341.5301,2.3572,1.6289,10.0000,0
